,전출지별,전입지별,2017_x,2018_x,2019_x,2020_x,2021_x,거리,전입지 면적,2017_y,2018_y,2019_y,2020_y,2021_y,2017,2018,2019,2020,2021
0,부산광역시,서울특별시,19460,19737,20285,20990,20009,282.8250192,605243961.2,9857426,9765623,9729107,9668465,9509458,3470653,3441453,3413841,3391946,3350380
1,부산광역시,대구광역시,4506,4505,4220,4674,4720,72.91277432,883698218.6,2475231,2461769,2438031,2418346,2385412,3470653,3441453,3413841,3391946,3350380
2,부산광역시,인천광역시,2994,2902,3055,2980,2758,308.2897337,1066465187,2948542,2954642,2957026,2942828,2948375,3470653,3441453,3413841,3391946,3350380
3,부산광역시,광주광역시,1073,1011,992,1142,1139,243.8051835,501113181.6,1463770,1459336,1456468,1450062,1441611,3470653,3441453,3413841,3391946,3350380
4,부산광역시,대전광역시,2159,2180,2172,2144,2124,202.4381726,539503587.6,1502227,1489936,1474870,1463882,1452251,3470653,3441453,3413841,3391946,3350380
5,부산광역시,울산광역시,9423,9076,9084,9111,9112,39.8565568,1062327677,1165132,1155623,1148019,1136017,1121592,3470653,3441453,3413841,3391946,3350380
6,부산광역시,세종특별자치시,862,943,898,967,917,217.3274838,464918346.3,280100,314126,340575,355831,371895,3470653,3441453,3413841,3391946,3350380
7,부산광역시,경기도,15837,16705,16422,17440,17339,277.6196218,10196731503,12873895,13077153,13239666,13427014,13565450,3470653,3441453,3413841,3391946,3350380
8,부산광역시,강원도,2221,1943,2077,2102,2102,195.4064501,16829671465,1550142,1543052,1541502,1542840,1538492,3470653,3441453,3413841,3391946,3350380
9,부산광역시,충청북도,2050,1980,1897,1924,2041,192.0757057,7406988695,1594432,1599252,1600007,1600837,1597427,3470653,3441453,3413841,3391946,3350380
10,부산광역시,충청남도,3242,3053,3039,3006,3147,259.0192729,8246960405,2116770,2126282,2123709,2121029,2119257,3470653,3441453,3413841,3391946,3350380
11,부산광역시,전라북도,1566,1333,1443,1565,1460,231.7966556,8072147335,1854607,1836832,1818917,1804104,1786855,3470653,3441453,3413841,3391946,3350380
12,부산광역시,전라남도,3269,3369,3479,3373,3088,225.885413,12358940175,1896424,1882970,1868745,1851549,1832803,3470653,3441453,3413841,3391946,3350380
13,부산광역시,경상북도,9096,8763,8950,9042,9907,76.6850316,19034795138,2691706,2676831,2665836,2639422,2626609,3470653,3441453,3413841,3391946,3350380
14,부산광역시,경상남도,65114,53816,52284,52857,52489,56.61891522,10541895014,3380404,3373988,3362553,3340216,3314183,3470653,3441453,3413841,3391946,3350380
15,부산광역시,제주특별자치도,2993,2826,2651,2568,2717,304.8249441,1850278724,657083,667191,670989,674635,676759,3470653,3441453,3413841,3391946,3350380
16,대구광역시,서울특별시,13011,13749,14515,15216,14136,210.5496947,605243961.2,9857426,9765623,9729107,9668465,9509458,2475231,2461769,2438031,2418346,2385412
